id,location,month,year,comp,heat,run 1,run 2,trick 1,trick 2,trick 3,trick 4,trick 5,trick 6,make 1,make 2,make 3,make 4,total_made,total_attempted,theta_i,theta_average,alpha,beta
Shirai,seattle,8,2022,prelim men,0.2,0.63,0.67,0.0,0.0,0.93,0.93,,,0,0,1,1,2,4,0.5,0.4,47.16182,-18.16987
Pudwill,seattle,8,2022,prelim men,0.2,0.18,0.21,0.0,0.0,0.0,0.55,,,0,0,0,1,1,4,0.25,0.25,69.80271,-7.34537
Berger,seattle,8,2022,prelim men,0.2,0.22,0.42,0.0,0.0,0.0,0.0,,,0,0,0,0,0,4,0.0,0.16667,,
Papa,seattle,8,2022,prelim men,0.2,0.72,0.35,0.89,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.4375,67.99632,20.68683
Milou,seattle,8,2022,prelim men,0.3,0.68,0.74,0.0,0.88,0.9,0.0,,,0,1,1,0,2,4,0.5,0.45,45.59939,1.97295
Decenzo,seattle,8,2022,prelim men,0.3,0.83,0.58,0.86,0.0,0.78,0.0,,,1,0,1,0,2,4,0.5,0.4375,47.14637,14.84492
Jordan,seattle,8,2022,prelim men,0.3,0.84,0.86,0.84,0.0,0.9,0.0,,,1,0,1,0,2,4,0.5,0.4,46.37412,3.82986
Ribeiro G,seattle,8,2022,prelim men,0.3,0.75,0.69,0.92,0.0,0.0,0.86,,,1,0,0,1,2,4,0.5,0.54167,44.18915,32.70124
Midler,seattle,8,2022,prelim men,0.3,0.8,0.01,0.79,0.0,0.0,0.84,,,1,0,0,1,2,4,0.5,0.33333,46.02323,3.81507
Suciu,seattle,8,2022,prelim men,0.3,0.79,0.85,0.78,0.72,0.0,0.0,,,1,1,0,0,2,4,0.5,0.625,48.59165,16.31602
Foy,seattle,8,2022,prelim men,0.4,0.45,0.59,0.0,0.9,0.9,0.0,,,0,1,1,0,2,4,0.5,0.5,46.06482,0.23132
Gustavo,seattle,8,2022,prelim men,0.4,0.77,0.82,0.77,0.0,0.88,0.0,,,1,0,1,0,2,4,0.5,0.4,47.62684,-17.20666
Oliveira,seattle,8,2022,prelim men,0.4,0.48,0.72,0.0,0.0,0.82,0.81,,,0,0,1,1,2,4,0.5,0.41667,47.48719,-1.89702
Horigome,seattle,8,2022,prelim men,0.4,0.82,0.87,0.87,0.0,0.83,0.0,,,1,0,1,0,2,4,0.5,0.5625,31.92734,-46.16463
Santiago,seattle,8,2022,prelim men,0.5,0.19,0.39,0.0,0.0,0.0,0.0,,,0,0,0,0,0,4,0.0,0.08333,,
Hoban,seattle,8,2022,prelim men,0.5,0.75,0.68,0.82,0.92,0.0,0.0,,,1,1,0,0,2,4,0.5,0.4,32.61763,686.4105
Ribeiro C,seattle,8,2022,prelim men,0.5,0.72,0.76,0.8,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.25,72.52862,1.49974
Joslin,seattle,8,2022,prelim men,0.5,0.48,0.85,0.84,0.85,0.0,0.0,,,1,1,0,0,2,4,0.5,0.45,46.88366,-3.83457
Decenzo,seattle,8,2022,final men,0.1,0.69,0.85,0.87,0.0,0.93,0.0,0.0,0.0,1,0,1,0,2,4,0.5,0.4375,45.81816,2.61209
Hoban,seattle,8,2022,final men,0.1,0.41,0.78,0.91,0.89,0.0,0.0,,,1,1,0,0,2,4,0.5,0.4,48.65941,-13.46008
Milou,seattle,8,2022,final men,0.1,0.92,0.53,0.86,0.9,0.0,0.0,0.93,0.0,1,1,0,0,2,4,0.5,0.45,44.31952,35.94991
Shirai,seattle,8,2022,final men,0.1,0.47,0.47,0.93,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.4,69.98065,-7.73707
Ribeiro G,seattle,8,2022,final men,0.1,0.75,0.83,0.0,0.92,0.0,0.0,,,0,1,0,0,1,4,0.25,0.54167,69.88052,-33.13754
Joslin,seattle,8,2022,final men,0.1,0.73,0.88,0.0,0.86,0.85,0.0,0.0,0.92,0,1,1,0,2,4,0.5,0.45,46.90906,0.64612
Horigome,seattle,8,2022,final men,0.1,0.9,0.73,0.95,0.0,0.91,0.0,0.0,0.0,1,0,1,0,2,4,0.5,0.5625,32.33065,20.52476
Jordan,seattle,8,2022,final men,0.1,0.77,0.66,0.9,0.0,0.9,0.0,,,1,0,1,0,2,4,0.5,0.4,46.06482,0.23132
McClung,las vegas,10,2022,prelim men,0.1,0.31,0.3,0.45,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.25,65.02396,99.10525
Mota,las vegas,10,2022,prelim men,0.1,0.34,0.51,0.69,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.25,69.60942,-10.45252
Pudwill,las vegas,10,2022,prelim men,0.1,0.27,0.44,0.56,0.0,0.0,0.7,,,1,0,0,1,2,4,0.5,0.25,47.18837,-2.89653
Silvas,las vegas,10,2022,prelim men,0.1,0.68,0.58,0.8,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.375,72.52862,1.49974
Decenzo,las vegas,10,2022,prelim men,0.1,0.31,0.54,0.0,0.86,0.71,0.0,,,0,1,1,0,2,4,0.5,0.4375,47.25708,-16.558
Midler,las vegas,10,2022,prelim men,0.1,0.63,0.68,0.0,0.73,0.0,0.0,,,0,1,0,0,1,4,0.25,0.33333,71.71345,-21.77145
Eaton,las vegas,10,2022,prelim men,0.2,0.75,0.79,0.75,0.84,0.77,0.0,,,1,1,1,0,3,4,0.75,0.625,26.17514,-3.84581
Ribeiro G,las vegas,10,2022,prelim men,0.2,0.8,0.82,0.0,0.91,0.83,0.77,,,0,1,1,1,3,4,0.75,0.54167,24.25877,-4.35713
Papa,las vegas,10,2022,prelim men,0.2,0.78,0.13,0.73,0.0,0.65,0.0,,,1,0,1,0,2,4,0.5,0.4375,47.55151,-2.91796
Ribeiro C,las vegas,10,2022,prelim men,0.2,0.14,0.28,0.74,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.25,70.93699,-30.98483
Fynn,las vegas,10,2022,prelim men,0.2,0.6,0.29,0.0,0.76,0.86,0.0,,,0,1,1,0,2,4,0.5,0.5,47.23383,-7.01661
Santiago,las vegas,10,2022,prelim men,0.3,0.61,0.14,0.47,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.08333,69.70656,-6.67547
Joslin,las vegas,10,2022,prelim men,0.3,0.7,0.82,0.81,0.0,0.83,0.0,,,1,0,1,0,2,4,0.5,0.45,47.05152,3.20282
Milou,las vegas,10,2022,prelim men,0.3,0.69,0.7,0.83,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.45,69.10699,6.26217
Hoefler,las vegas,10,2022,prelim men,0.3,0.85,0.03,0.73,0.0,0.78,0.0,,,1,0,1,0,2,4,0.5,0.4375,44.02497,18.22021
Hoban,las vegas,10,2022,prelim men,0.3,0.51,0.46,0.86,0.88,0.0,0.0,,,1,1,0,0,2,4,0.5,0.4,47.08721,4.47196
Berger,las vegas,10,2022,prelim men,0.4,0.61,0.41,0.0,0.0,0.0,0.0,,,0,0,0,0,0,4,0.0,0.16667,,
Majerus,las vegas,10,2022,prelim men,0.4,0.69,0.48,0.4,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.375,65.47507,100.08286
Oliveira,las vegas,10,2022,prelim men,0.4,0.5,0.42,0.0,0.71,0.83,0.0,,,0,1,1,0,2,4,0.5,0.41667,47.222,4.40549
Jordan,las vegas,10,2022,prelim men,0.4,0.26,0.84,0.0,0.0,0.0,0.91,,,0,0,0,1,1,4,0.25,0.4,64.54586,-6.91791
O’neill,las vegas,10,2022,prelim men,0.4,0.11,0.19,0.0,0.0,0.0,0.0,,,0,0,0,0,0,4,0.0,0.25,,
Rodriguez,las vegas,10,2022,prelim men,0.5,0.47,0.21,0.73,0.0,0.74,0.0,,,1,0,1,0,2,4,0.5,0.5,47.08822,2.01212
Gustavo,las vegas,10,2022,prelim men,0.5,0.59,0.62,0.8,0.0,0.76,0.0,,,1,0,1,0,2,4,0.5,0.4,41.9512,254.71723
Shirai,las vegas,10,2022,prelim men,0.5,0.65,0.04,0.0,0.86,0.0,0.0,,,0,1,0,0,1,4,0.25,0.4,69.79288,-5.84141
Foy,las vegas,10,2022,prelim men,0.5,0.1,0.6,0.79,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.5,69.71689,-4.60273
Papa,las vegas,10,2022,final men,0.1,0.38,0.66,0.0,0.0,0.8,0.0,,,0,0,1,0,1,4,0.25,0.4375,72.52862,1.49974
Gustavo,las vegas,10,2022,final men,0.1,0.28,0.8,0.8,0.0,0.0,0.0,,,1,0,0,0,1,4,0.25,0.4,72.52862,1.49974
Fynn,las vegas,10,2022,final men,0.1,0.36,0.38,0.0,0.74,0.0,0.82,,,0,1,0,1,2,4,0.5,0.5,45.66351,37.46531
Hoban,las vegas,10,2022,final men,0.1,0.62,0.88,0.86,0.0,0.88,0.0,0.0,0.0,1,0,1,0,2,4,0.5,0.4,47.08721,4.47196
Hoefler,las vegas,10,2022,final men,0.1,0.84,0.57,0.78,0.0,0.87,0.0,0.0,0.0,1,0,1,0,2,4,0.5,0.4375,40.02033,-18.76283
Eaton,las vegas,10,2022,final men,0.1,0.69,0.72,0.0,0.84,0.75,0.0,,,0,1,1,0,2,4,0.5,0.625,46.70817,-7.32629
Joslin,las vegas,10,2022,final men,0.1,0.68,0.83,0.79,0.83,0.0,0.0,0.89,0.94,1,1,0,0,2,4,0.5,0.45,47.45186,-2.82919
Ribeiro G,las vegas,10,2022,final men,0.1,0.85,0.3,0.0,0.92,0.88,0.92,0.0,0.17,0,1,1,1,3,4,0.75,0.54167,24.20116,-14.19706
