id,location,month,year,comp,heat,run 1,run 2,trick 1,trick 2,trick 3,trick 4,trick 5,trick 6
Jordan,jacksonville,7,2022,final men,0.1,0.7,0.9,0.0,0.0,0.0,0.8800000000000001,,
Ribeiro G,jacksonville,7,2022,final men,0.1,0.67,0.9099999999999999,0.8699999999999999,0.0,0.93,0.0,0.0,0.0
Gustavo,jacksonville,7,2022,final men,0.1,0.16,0.89,0.0,0.0,0.0,0.0,,
O’neill,jacksonville,7,2022,final men,0.1,0.6900000000000001,0.75,0.85,0.0,0.0,0.0,,
Horigome,jacksonville,7,2022,final men,0.1,0.63,0.9099999999999999,0.95,0.0,0.95,0.0,0.0,0.0
Huston,jacksonville,7,2022,final men,0.1,0.55,0.9099999999999999,0.0,0.0,0.0,0.9199999999999999,,
Majerus,seattle,8,2022,prelim men,0.1,0.4,0.09,0.79,0.0,0.0,0.36,,
Silvas,seattle,8,2022,prelim men,0.1,0.62,0.02,0.8099999999999999,0.8300000000000001,0.0,0.0,,
Fynn,seattle,8,2022,prelim men,0.1,0.5900000000000001,0.6799999999999999,0.8800000000000001,0.9,0.0,0.0,,
Mota,seattle,8,2022,prelim men,0.2,0.8099999999999999,0.38,0.0,0.8699999999999999,0.0,0.0,,
Hoefler,seattle,8,2022,prelim men,0.2,0.6799999999999999,0.71,0.85,0.0,0.0,0.75,,
Shirai,seattle,8,2022,prelim men,0.2,0.63,0.67,0.0,0.0,0.93,0.93,,
Pudwill,seattle,8,2022,prelim men,0.2,0.18,0.21000000000000002,0.0,0.0,0.0,0.55,,
Berger,seattle,8,2022,prelim men,0.2,0.22000000000000003,0.42000000000000004,0.0,0.0,0.0,0.0,,
Papa,seattle,8,2022,prelim men,0.2,0.72,0.35,0.89,0.0,0.0,0.0,,
Milou,seattle,8,2022,prelim men,0.3,0.6799999999999999,0.74,0.0,0.8800000000000001,0.9,0.0,,
Decenzo,seattle,8,2022,prelim men,0.3,0.8300000000000001,0.58,0.86,0.0,0.78,0.0,,
Jordan,seattle,8,2022,prelim men,0.3,0.8400000000000001,0.86,0.8400000000000001,0.0,0.9,0.0,,
Ribeiro G,seattle,8,2022,prelim men,0.3,0.75,0.6900000000000001,0.9199999999999999,0.0,0.0,0.86,,
Midler,seattle,8,2022,prelim men,0.3,0.8,0.01,0.79,0.0,0.0,0.8400000000000001,,
Suciu,seattle,8,2022,prelim men,0.3,0.79,0.85,0.78,0.72,0.0,0.0,,
Foy,seattle,8,2022,prelim men,0.4,0.45,0.5900000000000001,0.0,0.9,0.9,0.0,,
Gustavo,seattle,8,2022,prelim men,0.4,0.77,0.82,0.77,0.0,0.8800000000000001,0.0,,
Oliveira,seattle,8,2022,prelim men,0.4,0.48,0.72,0.0,0.0,0.82,0.8099999999999999,,
Horigome,seattle,8,2022,prelim men,0.4,0.82,0.8699999999999999,0.8699999999999999,0.0,0.8300000000000001,0.0,,
Santiago,seattle,8,2022,prelim men,0.5,0.19,0.39,0.0,0.0,0.0,0.0,,
Hoban,seattle,8,2022,prelim men,0.5,0.75,0.6799999999999999,0.82,0.9199999999999999,0.0,0.0,,
Ribeiro C,seattle,8,2022,prelim men,0.5,0.72,0.76,0.8,0.0,0.0,0.0,,
Joslin,seattle,8,2022,prelim men,0.5,0.48,0.85,0.8400000000000001,0.85,0.0,0.0,,
Decenzo,seattle,8,2022,final men,0.1,0.6900000000000001,0.85,0.8699999999999999,0.0,0.93,0.0,0.0,0.0
Hoban,seattle,8,2022,final men,0.1,0.41,0.78,0.9099999999999999,0.89,0.0,0.0,,
Milou,seattle,8,2022,final men,0.1,0.9199999999999999,0.53,0.86,0.9,0.0,0.0,0.93,0.0
Shirai,seattle,8,2022,final men,0.1,0.47000000000000003,0.47000000000000003,0.93,0.0,0.0,0.0,,
Ribeiro G,seattle,8,2022,final men,0.1,0.75,0.8300000000000001,0.0,0.9199999999999999,0.0,0.0,,
Joslin,seattle,8,2022,final men,0.1,0.73,0.8800000000000001,0.0,0.86,0.85,0.0,0.0,0.9199999999999999
Horigome,seattle,8,2022,final men,0.1,0.9,0.73,0.95,0.0,0.9099999999999999,0.0,0.0,0.0
Jordan,seattle,8,2022,final men,0.1,0.77,0.6599999999999999,0.9,0.0,0.9,0.0,,
McClung,las vegas,10,2022,prelim men,0.1,0.31,0.3,0.45,0.0,0.0,0.0,,
Mota,las vegas,10,2022,prelim men,0.1,0.33999999999999997,0.51,0.6900000000000001,0.0,0.0,0.0,,
Pudwill,las vegas,10,2022,prelim men,0.1,0.27,0.44000000000000006,0.5599999999999999,0.0,0.0,0.7,,
Silvas,las vegas,10,2022,prelim men,0.1,0.6799999999999999,0.58,0.8,0.0,0.0,0.0,,
Decenzo,las vegas,10,2022,prelim men,0.1,0.31,0.54,0.0,0.86,0.71,0.0,,
Midler,las vegas,10,2022,prelim men,0.1,0.63,0.6799999999999999,0.0,0.73,0.0,0.0,,
Eaton,las vegas,10,2022,prelim men,0.2,0.75,0.79,0.75,0.8400000000000001,0.77,0.0,,
Ribeiro G,las vegas,10,2022,prelim men,0.2,0.8,0.82,0.0,0.9099999999999999,0.8300000000000001,0.77,,
Papa,las vegas,10,2022,prelim men,0.2,0.78,0.13,0.73,0.0,0.65,0.0,,
Ribeiro C,las vegas,10,2022,prelim men,0.2,0.13999999999999999,0.27999999999999997,0.74,0.0,0.0,0.0,,
Fynn,las vegas,10,2022,prelim men,0.2,0.6,0.29,0.0,0.76,0.86,0.0,,
Santiago,las vegas,10,2022,prelim men,0.3,0.61,0.13999999999999999,0.47000000000000003,0.0,0.0,0.0,,
Joslin,las vegas,10,2022,prelim men,0.3,0.7,0.82,0.8099999999999999,0.0,0.8300000000000001,0.0,,
Milou,las vegas,10,2022,prelim men,0.3,0.6900000000000001,0.7,0.8300000000000001,0.0,0.0,0.0,,
Hoefler,las vegas,10,2022,prelim men,0.3,0.85,0.03,0.73,0.0,0.78,0.0,,
Hoban,las vegas,10,2022,prelim men,0.3,0.51,0.45999999999999996,0.86,0.8800000000000001,0.0,0.0,,
Berger,las vegas,10,2022,prelim men,0.4,0.61,0.41,0.0,0.0,0.0,0.0,,
Majerus,las vegas,10,2022,prelim men,0.4,0.6900000000000001,0.48,0.4,0.0,0.0,0.0,,
Oliveira,las vegas,10,2022,prelim men,0.4,0.5,0.42000000000000004,0.0,0.71,0.8300000000000001,0.0,,
Jordan,las vegas,10,2022,prelim men,0.4,0.26,0.8400000000000001,0.0,0.0,0.0,0.9099999999999999,,
O’neill,las vegas,10,2022,prelim men,0.4,0.11000000000000001,0.19,0.0,0.0,0.0,0.0,,
Rodriguez,las vegas,10,2022,prelim men,0.5,0.47000000000000003,0.21000000000000002,0.73,0.0,0.74,0.0,,
